run_id,spec_version,mode,scale,freq_hz,target_amp_p2p_mm,mass_exp,inertia_exp,mass_multiplier,inertia_multiplier,force_exp,effective_force_multiplier,n_force_scaled,duration_s,settle_s,play_time_s,open_gap_mm,gravity_state,gravity_enabled,gravity_x,gravity_y,gravity_z,target_position_formula_id,target_velocity_formula_id,target_marker_name,controller_architecture_id,target_weight,l2_regularization,excitation_damping,frame_damping,rotary_damping,max_step_s,collision_setting,collision_api_success,collision_behaviors_disabled,tmj_joint_setting,tmj_connectors_found,tmj_connectors_modified,rest_lengths_reset,n_rest_lengths_reset,n_exciters,hybrid_solves_disabled,input_probes_removed,output_probes_removed,geometry_scaled,model_units,return_status,return_code,failure_reason,n_samples,actual_source_amp_p2p_mm,actual_target_amp_p2p_mm,amplitude_gain,tracking_rmse_mm,peak_excitation,mean_summed_squared_excitation,rmse_ok,peak_excitation_ok,amplitude_gain_ok,is_feasible,failed_criteria,model_source_sha256,compiled_model_sha256,case_runner_sha256,grid_runner_sha256,common_module_sha256,play_script_sha256,artisynth_launcher_sha256,java_executable_sha256,python_executable_sha256,base_jawdemo_class_sha256,base_jawmodel_class_sha256,code_bundle_sha256,configuration_sha256,raw_java_csv_sha256,raw_stdout_sha256,raw_stderr_sha256,raw_run_log_sha256,command_sha256,environment_sha256,result_json_sha256,started_utc,finished_utc,elapsed_seconds
force_capacity_s2__s0p80__f1p0__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,force_capacity_s2,0.80000000000000004,1,1,3,5,0.51200000000000012,0.32768000000000008,2,0.64000000000000012,24,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,0.99946217718512997,1,0.99946217718512997,0.02520060585609718,0.67269567732546165,0.14884730669367671,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,4063008927a65df040683d2855819ff6a77ee0603f4fccc253e9c451e2d5c754,0f39f658398eeaf36637d38f5b8ec2b9cc6cba60ad3e52a353440cae329d20a8,de2a8d69377931e0082f2f9b44af14faee4b20edfdc7bf558c46748c943eeec7,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,0f6328b082e120e6443d2f7f1101137f84d31eed17f5d1e47fea6dbb989de794,b5c7c1287f4939b2c22eccd1b447b39ae01d4fbdbdb2dc394057b7d95b555e0e,36a95c93d1450f40931178ac685d84a8f91e56db310a4c58e3cff48c028d6aa7,e8580ca9800d2e5ae9f8e0cd4b6562b86e02e74cecbd1c590a65a746ddf5d433,2026-07-20T18:49:35Z,2026-07-20T18:49:51Z,16.16394991701236
force_capacity_s2__s0p80__f1p5__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,force_capacity_s2,0.80000000000000004,1.5,1,3,5,0.51200000000000012,0.32768000000000008,2,0.64000000000000012,24,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,0.99967636698979589,1,0.99967636698979589,0.025236045424236724,0.672759613631144,0.14921260876800735,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,b51379812571f94e8f459933745a5cd99bbc2e2a08216ab668a796fae4cd3ab9,b81ef867e38270da56739e2644c8e05657feeea80da8d94113d7a79b9503afd0,12feccbcc6b281af6059025ebe4e385f27edb777ba962657ec48dca19ab34cda,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,b02d8b91eb0fc700babfee27443e1020017001f0fd6acbe9f8d5351c484fe9a3,54bef7dbd5c8c93de9e357e2928e4ed0a5f2a8fa0b448a5443a9d999e240c57a,e0f1f53344b2155efb1b1cd8d0d48cfc18d138d20f667a2855f924ff92f677a7,1def58e82fbc4cf1ad2c77c90ef5b64977416065cbcf14d4494d91fe1db9eacc,2026-07-20T18:49:51Z,2026-07-20T18:50:07Z,15.678904916974716
force_capacity_s2__s0p80__f2p0__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,force_capacity_s2,0.80000000000000004,2,1,3,5,0.51200000000000012,0.32768000000000008,2,0.64000000000000012,24,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,0.9993051078222237,1,0.9993051078222237,0.02472398878924581,0.67284349303680746,0.13551335038535117,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,a4b9ea8c9ba85f504d17393df81c5191b941fef07bb635e233621e1a7abe33b0,dace635475fd224efd45972e07cf7e668f4687c404738fcb50eb7025e0ad2fd9,4705e5d7d876a27ab564babfdde99c430920f362120ad324c7e3f9b54d4c9014,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,f9aff9c81c07f5bf5b03dace9fa61286da1eea46e35acd49b48725f3afb26dcd,597e3cfe32b55264bcbcda30e488967ff035dea427772835cfb20992dd4dd9a0,699cb3f52c45ee14c809ef208c344f2b72214bfaa10f6f0dc279dead5e18b272,9823c9a8c653af6088ef031abc4d9ff452b6bb6a4c6d3737be78f689e7262e9e,2026-07-20T18:50:07Z,2026-07-20T18:50:22Z,15.47328358294908
force_capacity_s2__s0p80__f2p5__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,force_capacity_s2,0.80000000000000004,2.5,1,3,5,0.51200000000000012,0.32768000000000008,2,0.64000000000000012,24,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0010580338884267,1,1.0010580338884267,0.024157205583473448,0.66685823929369137,0.11840021263693483,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,ce9bd8c39c4d1c4daa542ef66b16505caafd1ae05cf0045c36e69951560187e7,1d839ebd452b556a197b815e4caed7f82627b826fde6943c2c7ac7ccf4f0c3fd,ce36a43829ddad7b74e5b3924f7d8b290ab9cf647d692ef5a83432f88444f611,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,1b36f03d59dbec8cc5c636cd0a7cf89bdf76708ec97a704d5225f8caf0d930c0,45351253d381795785ab4ea9ec3d9b6d84fbd80d1fddd0c8e5dfc7b7a107df0d,68f929a38df48f7689787502e318ebaa4281973c9613dbbb38f04f5a6639fe91,8f46c7c19268364da9ff2d8f4fbff6a39623aeea4b06911b9a9a2e11591c13c6,2026-07-20T18:50:23Z,2026-07-20T18:50:38Z,15.621402749966364
force_capacity_s2__s0p80__f3p0__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,force_capacity_s2,0.80000000000000004,3,1,3,5,0.51200000000000012,0.32768000000000008,2,0.64000000000000012,24,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0029166105031635,1,1.0029166105031635,0.024529481491747333,0.67046389456283906,0.10319008625082846,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,408122d622e3bca6ca8fd2d24e4626ab3fd63f3e0f7e678a1ff6516ec8012233,10334bc75773f9a2fa7b4189967faff30f24fc2ffc4dce558d279ef832010cf5,7794af574fb0d7fb0f6140300dfabb16e1319aab73cce2b4b4a48ad25e6e650d,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,8e3b702b3ca99e1fa5f8c160eb2e4484cbe5f11e8acb3527ca08ccb8a2251010,dbe804a092c1f30176effaf096f6be2a12a18838cbdc1b4c71823f6c3573fcb0,e33956958becd213e3659a6d6a650ea0f921ebc003853cb5f4a5b6037d074633,a32bebe74430a489d9dbaae50ba3bfa0c2af362801b05ee987e0e1bea4a77ce5,2026-07-20T18:50:38Z,2026-07-20T18:50:54Z,15.359744665969629
force_capacity_s2__s0p80__f3p5__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,force_capacity_s2,0.80000000000000004,3.5,1,3,5,0.51200000000000012,0.32768000000000008,2,0.64000000000000012,24,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0014201613229616,1,1.0014201613229616,0.025546286834100103,0.83245857323365069,0.11758512670200476,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,260a1d51830a27929469ffb2b085cdca1e3bd41db13b0270f3b60a3b806be6e6,ff05516848088a8792cb4749e188479a5ef745dde042a7d5ad428a88235e5d59,60503aeb6adec59f98dce450c348a538a120adb7e9cf748e2d25ffdcd4ba1d17,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3cfb67510b024b0e46cb4fb38a35411756faa376683ab257d3c45eb935281ea6,34753998905586972a69233c63b2c54c474273385c3d09d49dcc7e18228e736f,0b1cd17bae564f4b810baad5514dae03f1d6f2bdb947b86837441cdbb2b4384b,c487d13c369eee331103260580ea34063d273a21ea0be39fde325ef664689460,2026-07-20T18:50:54Z,2026-07-20T18:51:10Z,15.688888125005178
force_capacity_s2__s0p80__f4p0__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,force_capacity_s2,0.80000000000000004,4,1,3,5,0.51200000000000012,0.32768000000000008,2,0.64000000000000012,24,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0040819063528374,1,1.0040819063528374,0.023972895346513843,0.83590411482277471,0.1022506466284101,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,9e81c5c666c54cb8b962d5bc58a63b5ba3c0f7c75dc9d34e76a7a66d6bd57b31,7db9c4503028868fd9e5b78d4b383629aadb3aade83de5855da275478a1d92d6,5b2d6e0086495db33f06b69983a3e3da5ad85ca27d51ec3b42f582ce62565f36,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,5fec80a2506e22ffb2f745db218d5d52b48bb6214ae317d3e1854a337eea6e24,c3cff54c9e2461a8de9e244da390cc29fff6ad9de6904838dec5d40f5fbfba67,5a0bf1019ecc40cae515d7dade74c6288b5674161646cec098ce3a6f3d37ae52,e6f927cda7d77938abb178a3ecb2b4049daeabf518e2e122820ca76f71022c4e,2026-07-20T18:51:10Z,2026-07-20T18:51:25Z,15.485921957995743
force_capacity_s2__s0p80__f4p5__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,force_capacity_s2,0.80000000000000004,4.5,1,3,5,0.51200000000000012,0.32768000000000008,2,0.64000000000000012,24,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0045140758560507,1,1.0045140758560507,0.023199742349740496,0.60030044615144995,0.085839586951993285,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,b20414b2dee3caadf21d5f4035cb9fb9ee6bed6409c090a2e64a9144db2bd53e,015808c6129546b82976cc9bb0ce5f4de54688e33eda147813f674c0138ef9dc,c4d4fb69867b5d4fbeb70794a78ef915345efd7b3d16be7f3ef499db56caef31,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,588386fc00ce9c732a0b81d0d9a1ae0ce3054dd8515d19a95e48eb8b46209be4,d7022aa9e357507c4b6be7c2786b505d1a94f36e67868b636a873659e1ae1382,06f9b1409691e1ea501d265044ff764a5c34c5be7e08cc2fffc2c4a30ec3d2cf,95c19d67854c2c6aafd32a396f53aa60179b4d26ce585a91380e6046fc1c6a71,2026-07-20T18:51:25Z,2026-07-20T18:51:41Z,15.66635795898037
force_capacity_s2__s0p80__f5p0__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,force_capacity_s2,0.80000000000000004,5,1,3,5,0.51200000000000012,0.32768000000000008,2,0.64000000000000012,24,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0016154093237972,1,1.0016154093237972,0.024263253818857581,0.82201149192742728,0.095558860720582964,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,9ecc7c2c3d5eac894eed0f21740ad575ecb44ca11c300abb2432a1ce5c20b14d,0ffef3d8df4db3eeece7df828cc63f31eaefae689029b894ea24958fe5143ee0,3e9671b4279c723a1b9d63c85db56b93f458ef3affb9801613dc7ef0ca4c0517,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,21747958d3dbecd8ceadd226e644229ae174e5dc510b86d85e3e2bacd741806b,96549ca5b0c5e607c3724c6dd17c477b894e2e7875315c23a3ecae0fcc5d10c3,77295735294f09dd640b3486430bc1db4f40ff31ecce43c2c7c3c17279fec344,8c41fb4b5a53d7ce3c1140b0a75e22b51f968db1387eae317f0e719d7ab955ca,2026-07-20T18:51:41Z,2026-07-20T18:51:57Z,15.776333041954786
force_capacity_s2__s0p80__f5p5__A1p0,ARTISYNTH_CANONICAL_2026-07-20_D8_TARGET_DERIVATIVE_COLLISION_API_V2,force_capacity_s2,0.80000000000000004,5.5,1,3,5,0.51200000000000012,0.32768000000000008,2,0.64000000000000012,24,4,0.5,4.7999999999999998,0,disabled,false,0,0,0,P2P_ONE_SIDED_SIN_ACTIVE_V1,P2P_ONE_SIDED_SIN_EXACT_DERIVATIVE_V1,lowerincisor,TrackingController_point_target_LI_L2_excitation_damping_V1,100,0.01,0.10000000000000001,2,4,0.00025000000000000001,disabled,true,4,unilateral_false,2,2,true,24,24,true,true,true,false,mm,success,0,,14001,1.0054151972177507,1,1.0054151972177507,0.02322766069054142,0.57818805430360209,0.082877027085779154,true,true,true,true,,966878ff64a50c87e287c38fb35fe0cd01c2e6dec727283315bad94bf2c06413,3388d7fda54372a41d2a94b5f83bdf08aa46d0e62ef9482205552e24006bacf1,59b24829bba6ca2512029d36ac1a408579102ebde95f71196a706d877cdbdfa7,0bcb8f7628678d3bd8a51b26fb64563736a9fd3db76ddb26b02b0412720df2fd,9e06e9cd46696fc466e38f833699185f30f816580cb0aa7238a903e2416b578f,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,3da9f19b2e42b9ab137ee0ab16be199e13a2b8c0c8a2e698fadc510cb8594e2c,97d3a26c54ee4715ba4be0d06fc158db9c10a107390ab6f702fe1f1a680b2f45,c1feb24febf3d370ae11d6b09b84dfc46167b4fbbd5929476ad2abf8e29377ff,d8fe0b6f128483ecfdd86808ee63d3b4a3356dbb137a71620f53c9e91d4dbb52,3c4f0329be222eed4892da7f0fd020f2ff59471ff42f5de462e378236e85fa19,782015ef2e9cf06b37ec7e65277ee9fe8a2d6dea6b6d16065e8760f4bda8f2d9,a6210f1b731c48148692cb69673a6a32b76a2f652de5cb581797576ebe3fd7fe,64a7089f8e450ed4988c3b2527bfff3861d82325eb397b76fa75b57db9c9168a,eac6064003176ecdf458addd8ee2f9da593dc797d250140e98b9b59a73752d95,f5d273c66a6998340c7558c48aaa4890f4517969d21c6a72e5a51e2292d5599b,271d6f4dd3279040705015647cb0a8a1cdb142220dc7f2203d5026c0c89d05b5,c3a6167b0e1cca7650fe860a33d47ac23a154ff8427bd1c9115b4db99d271dfc,cb132630897154e30954285eeacf75451427fca0e583148e46cd6d5601757635,11f3a7e3b7b138e53abad52f16f6c97361c173c75c847824c4108c1ae573fb03,2026-07-20T18:51:57Z,2026-07-20T18:52:13Z,15.76935858395882
